QuestionID,Question,Answer,Explanation,Counter
11,"Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center.
You are required make sure that the intended Azure solution uses the correct expenditure model.
Solution: You should recommend the use of the scalable expenditure model.
Does the solution meet the goal?
A. Yes
B. No",B,"There is no such thing as a ""scalable expenditure model"" in Azure. The two expenditure models in Azure are pay-as-you-go and reserved instances. Pay-as-you-go is the default and most common expenditure model in Azure. It means you pay for resources you consume on an hourly or per-minute basis. It offers flexibility to scale resources up and down as needed. Reserved instances is an expenditure model where you commit to a one- or three-year term for a particular virtual machine instance type, size, and region. This commitment provides you with a discount compared to pay-as-you-go pricing. Since the question states that the company is planning to migrate all of their virtual machines to an Azure pay-as-you-go subscription, the correct expenditure model is pay-as-you-go. ",0
12,"Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center.
You are required make sure that the intended Azure solution uses the correct expenditure model.
Solution: You should recommend the use of the operational expenditure model.
Does the solution meet the goal?
A. Yes
B. No",A,Operating expenditures are ongoing costs of doing business. Consuming cloud services in a pay-as-you-go model could qualify as an operating expenditure. ,0
13,"You are required to deploy an Artificial Intelligence (AI) solution in Azure.
You want to make sure that you are able to build, test, and deploy predictive analytics for the solution.
Solution: You should make use of Azure Cosmos DB.
Does the solution meet the goal?
A. Yes
B. No",B,"Azure Cosmos DB is a globally distributed, multi-model database service optimized for managing schema-less data at a global scale, offering high availability and low latency. For deploying an AI solution that involves building, testing, and deploying predictive analytics, services like Azure Machine Learning or Azure Cognitive Services are more appropriate, as they are specifically designed for AI workloads, including predictive analytics.",0
14,"Your company's Active Directory forest includes thousands of user accounts.
You have been informed that all network resources will be migrated to Azure. Thereafter, the on-premises data center will be retired.
You are required to employ a strategy that reduces the effect on users, once the planned migration has been completed.
Solution: You plan to sync all the Active Directory user accounts to Azure Active Directory (Azure AD).
Does the solution meet the goal?
A. Yes
B. No",A,"Syncing all the Active Directory user accounts to Azure Active Directory (Azure AD) is a common strategy to ensure a smooth migration to the cloud while minimizing the impact on users. This approach is often referred to as implementing a hybrid identity model. By syncing the user accounts to Azure AD using tools like Azure AD Connect, users can continue using their existing credentials to access cloud resources after the migration. This provides a seamless experience for users and reduces the disruption typically associated with migrations. Therefore, the solution of syncing Active Directory user accounts to Azure AD meets the goal of reducing the impact on users during the migration to Azure.",0
15,"You are required to deploy an Artificial Intelligence (AI) solution in Azure.
You want to make sure that you are able to build, test, and deploy predictive analytics for the solution.
Solution: You should make use of Azure Machine Learning Studio.
Does the solution meet the goal?
A. Yes
B. No",A,"Machine Learning Studio (classic) is a drag-and-drop tool you can use to build, test, and deploy predictive analytics solutions. ",0
16,"Your company's infrastructure includes a number of business units that each need a large number of various Azure resources for everyday operation.
The resources required by each business unit are identical.
You are required to sanction a strategy to create Azure resources automatically.
Solution: You recommend that the Azure API Management service be included in the strategy.
Does the solution meet the goal?
A. Yes
B. No",B,"Azure API Management is a service that helps create consistent and modern API gateways for existing back-end services. It does not provide a direct means to automate the creation of Azure resources. For automating resource creation, services like Azure Resource Manager templates, Azure Automation, or Azure DevOps would be more appropriate as they are designed to handle deployment and automation of resources on Azure.",0
17,"Your company's infrastructure includes a number of business units that each need a large number of various Azure resources for everyday operation.
The resources required by each business unit are identical.
You are required to sanction a strategy to create Azure resources automatically.
Solution: You recommend that management groups be included in the strategy.
Does the solution meet the goal?
A. Yes
B. No",B,"Management groups are used to organize resources and manage access, policy, and compliance across multiple subscriptions, but they are not specifically designed for automatically creating Azure resources. Instead, consider using Azure Resource Manager templates (ARM templates) or Azure Blueprints for automating the creation and management of Azure resources.",0
18,"Your company's infrastructure includes a number of business units that each need a large number of various Azure resources for everyday operation.
The resources required by each business unit are identical.
You are required to sanction a strategy to create Azure resources automatically.
Solution: You recommend that the Azure Resource Manager templates be included in the strategy.
Does the solution meet the goal?
A. Yes
B. No",A,"Using Azure Resource Manager (ARM) templates is a highly effective strategy for automatically creating and managing Azure resources, especially when you have identical requirements for multiple business units. ARM templates allow you to define your infrastructure as code, specifying the resources, configurations, and relationships in a declarative manner. By creating ARM templates that represent the required resources, you can deploy them consistently across different business units while ensuring that the configurations are identical. This approach is efficient, repeatable, and scalable, making it a suitable solution for automating resource deployment.",0
19,"You are tasked with deploying a critical LOB application, which will be installed on a virtual machine, to Azure.
You are informed that the application deployment strategy should allow for a guaranteed availability of 99.99 percent. You need to make sure that the strategy requires as little virtual machines and availability zones as possible.
Solution: You include two virtual machines and one availability zone in your strategy.
Does the solution meet the goal?
A. Yes
B. No",B,"Azure's SLA for Virtual Machines with a single instance is 99.5% availability. To achieve a guaranteed availability of 99.99%, you would need to deploy the application in an architecture that takes advantage of Azure's higher availability options, such as Availability Zones. For an SLA of 99.99%, deploying the application in at least two Availability Zones would be recommended. This would ensure that your application is highly available across separate physical locations, each with its own power, cooling, and networking, reducing the risk of a single point of failure. Simply deploying two virtual machines in a single Availability Zone would not achieve the desired level of availability.",0
20,"You are tasked with deploying a critical LOB application, which will be installed on a virtual machine, to Azure.
You are informed that the application deployment strategy should allow for a guaranteed availability of 99.99 percent. You need to make sure that the strategy requires as little virtual machines and availability zones as possible.
Solution: You include one virtual machine and two availability zones in your strategy.
Does the solution meet the goal?
A. Yes
B. No",B,"Deploying one virtual machine and two availability zones does not meet the goal of achieving a guaranteed availability of 99.99 percent. To achieve such a high level of availability, you typically need to distribute your application across multiple instances in multiple availability zones or sets.",0
21,"You are tasked with deploying a critical LOB application, which will be installed on a virtual machine, to Azure.
You are informed that the application deployment strategy should allow for a guaranteed availability of 99.99 percent. You need to make sure that the strategy requires as little virtual machines and availability zones as possible.
Solution: You include two virtual machines and two availability zones in your strategy.
Does the solution meet the goal?
A. Yes
B. No",A,"Deploying one virtual machine and two availability zones does not meet the goal of achieving a guaranteed availability of 99.99 percent. To achieve such a high level of availability, you typically need to distribute your application across multiple instances in multiple availability zones or sets.",0
22,"Your company's developers intend to deploy a large number of custom virtual machines on a weekly basis. They will also be removing these virtual machines during the same week it was deployed. Sixty percent of the virtual machines have Windows Server 2016 installed, while the other forty percent has Ubuntu Linux installed.
You are required to make sure that the administrative effort, needed for this process, is reduced by employing a suitable Azure service.
Solution: You recommend the use of Microsoft Managed Desktop.
Does the solution meet the goal?
A. Yes
B. No",B,"Microsoft Managed Desktop is not an appropriate solution for deploying and managing a large number of custom virtual machines on a weekly basis. Microsoft Managed Desktop is a service that provides managed Windows 10 devices for organizations, and it's not designed for managing virtual machines, especially with the frequency and diversity described in your scenario. For managing virtual machines in Azure, a more suitable solution would be to use Azure Automation or Azure Resource Manager (ARM) templates. These tools allow you to automate the deployment and management of virtual machines, including the creation, configuration, and deletion of resources. You can define your desired state in code, and these tools will handle the provisioning and management tasks, reducing administrative effort.",0
23,"Your company's developers intend to deploy a large number of custom virtual machines on a weekly basis. They will also be removing these virtual machines during the same week it was deployed. Sixty percent of the virtual machines have Windows Server 2016 installed, while the other forty percent has Ubuntu Linux installed.
You are required to make sure that the administrative effort, needed for this process, is reduced by employing a suitable Azure service.
Solution: You recommend the use of Azure Reserved Virtual Machines (VM) Instances.
Does the solution meet the goal?
A. Yes
B. No",B,"Azure Reserved Virtual Machine (VM) Instances are not the most suitable solution for deploying and managing a large number of custom virtual machines on a weekly basis that are also removed during the same week. Reserved VM Instances are used to save costs by committing to a specific VM instance type for a one- or three-year term, which is not aligned with the short-term and frequent deployment and removal pattern described in your scenario. To reduce administrative effort for your specific use case, you might consider using Azure DevTest Labs. Azure DevTest Labs allows you to quickly create environments in Azure while managing costs by setting up policies for resource usage. You can create a lab that aligns with your requirements, including Windows Server and Ubuntu Linux VMs, and allow your developers to deploy and remove VMs easily in a controlled environment.",0
24,"Your company's developers intend to deploy a large number of custom virtual machines on a weekly basis. They will also be removing these virtual machines during the same week it was deployed. Sixty percent of the virtual machines have Windows Server 2016 installed, while the other forty percent has Ubuntu Linux installed.
You are required to make sure that the administrative effort, needed for this process, is reduced by employing a suitable Azure service.
Solution: You recommend the use of Azure DevTest Labs.
Does the solution meet the goal?
A. Yes
B. No",A,"Azure DevTest Labs is a suitable Azure service for managing the deployment and lifecycle of custom virtual machines, especially when they need to be created and removed frequently, as in your scenario. With Azure DevTest Labs, you can create a lab environment where developers can quickly create and manage virtual machines for development and testing purposes. The lab management capabilities allow you to set up policies, quotas, and schedules, which can help reduce administrative effort and manage costs. By using Azure DevTest Labs, developers can easily deploy custom virtual machines with Windows Server 2016 and Ubuntu Linux as needed, and these VMs can be automatically cleaned up or removed at the end of the week. This approach streamlines the deployment and management process, ensuring that administrative effort is reduced while meeting the dynamic requirements of your developers. ",0
25,"Your company has virtual machines (VMs) hosted in Microsoft Azure. The VMs are located in a single Azure virtual network named VNet1.
The company has users that work remotely. The remote workers require access to the VMs on VNet1.
You need to provide access for the remote workers.
What should you do?
A. Configure a Site-to-Site (S2S) VPN.
B. Configure a VNet-toVNet VPN.
C. Configure a Point-to-Site (P2S) VPN.
D. Configure DirectAccess on a Windows Server 2012 server VM.
E. Configure a Multi-Site VPN",C,"To provide remote workers with access to the virtual machines (VMs) in the Azure virtual network (VNet), you should configure a Point-to-Site (P2S) VPN. P2S VPN allows individual remote clients to securely connect to the Azure VNet over the internet using a VPN client installed on their computer. This enables the remote workers to access the resources within VNet as if they were connected directly to the virtual network.",0
26,"You have been informed by your superiors of the company's intentions to automate server deployment to Azure. There is, however, some concern that administrative credentials could be uncovered during this process.
You are required to make sure that during the deployment, the administrative credentials are encrypted using a suitable Azure solution.
Solution: You recommend the use of Azure Information Protection.
Does the solution meet the goal?
A. Yes
B. No",B,"Azure Information Protection is primarily used for classifying, labeling, and protecting documents and emails containing sensitive information. It's not designed for encrypting administrative credentials during server deployment processes. For encrypting administrative credentials during server deployment to Azure, a more suitable solution would be to use Azure Key Vault. Azure Key Vault is a cloud service that allows you to safeguard cryptographic keys, certificates, and secrets used by cloud applications and services. You can store the administrative credentials securely in Azure Key Vault and retrieve them when needed during the deployment process. This ensures that the credentials are properly protected and managed.",0
27,"You have been informed by your superiors of the company's intentions to automate server deployment to Azure. There is, however, some concern that administrative credentials could be uncovered during this process.
You are required to make sure that during the deployment, the administrative credentials are encrypted using a suitable Azure solution.
Solution: You recommend the use of Azure Multi-Factor Authentication (MFA).
Does the solution meet the goal?
A. Yes
B. No",B,"No, the recommended solution of Azure Multi-Factor Authentication (MFA) does not encrypt administrative credentials during server deployment to Azure. MFA is a solution that adds an additional layer of authentication to the login process, and it can help prevent unauthorized access to resources. To encrypt administrative credentials during server deployment to Azure, a better solution would be to use Azure Key Vault. Azure Key Vault is a cloud-based service that provides secure storage of keys, secrets, and certificates. By storing the administrative credentials in Azure Key Vault, they can be encrypted and protected from unauthorized access.",0
28,"The company would like to develop a cloud solution by making use of Azure Government. 
Azure Government can only be used by certain types of clients to develop cloud solutions.
Which of the following are the types of customers that can make use of Azure Government in this situation? 
A. A government contractor from any country
B. A government entity from any country
C. A European government contractor
D. A European government entity
E. A US government contractor
F. A US government entity",EF,"Azure Government is the mission-critical cloud, delivering breakthrough innovation to US government customers and their partners. Only US federal, state, local, and tribal governments and their partners have access to this dedicated instance.",0
29,"Your company has an Azure Active Directory (Azure AD) environment. Users occasionally connect to Azure AD via the Internet.
You have been tasked with making sure that users who connect to Azure AD via the internet from an unidentified IP address, are automatically encouraged to change passwords.
Solution: You configure the use of Azure AD Identity Protection.
Does the solution meet the goal?
A. Yes
B. No",A,"Azure AD Identity Protection is a comprehensive solution that helps you protect your organization's identities and detect and respond to potential identity-related risks. One of its features is the ability to configure risk-based policies. In this case, you can set up a risk-based policy that triggers a password change prompt for users when they connect to Azure AD via the internet from an unidentified IP address. This helps enhance security by encouraging users to change their passwords in case of suspicious activity.",0
30,"Your company has an Azure Active Directory (Azure AD) environment. Users occasionally connect to Azure AD via the Internet.
You have been tasked with making sure that users who connect to Azure AD via the internet from an unidentified IP address, are automatically encouraged to change passwords.
Solution: You configure the use of Azure AD Privileged Identity Management.
Does the solution meet the goal?
A. Yes
B. No",B,"Azure AD Privileged Identity Management (PIM) manages, controls, and monitors access within Azure AD, Azure, and other Microsoft Online Services. It's used for managing privileged accounts and doesn't directly handle password policies or enforce password changes based on IP address recognition. Instead, to meet the goal, you should consider using Azure AD Identity Protection, which can enforce risk-based conditional access policies that might prompt users for password changes if an unfamiliar sign-in is detected.",0
31,"You are planning a strategy to deploy numerous web servers and database servers to Azure.
This strategy should allow for connection types between the web servers and database servers to be controlled.
Solution: You include network security groups (NSGs) in your strategy.
Does the solution meet the goal?
A. Yes
B. No",A,"You can use an Azure network security group to filter network traffic between Azure resources in an Azure virtual network. A network security group contains security rules that allow or deny inbound network traffic to, or outbound network traffic from, several types of Azure resources. For each rule, you can specify source and destination, port, and protocol",0
32,"You are planning a strategy to deploy numerous web servers and database servers to Azure.
This strategy should allow for connection types between the web servers and database servers to be controlled.
Solution: You include a local network gateway in your strategy.
Does the solution meet the goal?
A. Yes
B. No",B,"A local network gateway in Azure is typically used when you want to establish a connection between your Azure virtual network and an on-premises network or another network outside of Azure. It's not directly related to controlling connection types between web servers and database servers within the same Azure virtual network. To control the connection types between web servers and database servers in Azure, you would typically use Network Security Groups (NSGs), which allow you to define inbound and outbound traffic rules to control the flow of traffic between resources in a virtual network. You might also consider using Azure Firewall or Azure Application Gateway depending on your specific requirements.",0
33,"Your company's Active Directory forest includes thousands of user accounts.
You have been informed that all network resources will be migrated to Azure. Thereafter, the on-premises data center will be retired.
You are required to employ a strategy that reduces the effect on users, once the planned migration has been completed.
Solution: You plan to require Azure Multi-Factor Authentication (MFA).
Does the solution meet the goal?
A. Yes
B. No",B,"Multi-factor authentication doesn't reduce the effect or have any kind of effect on this issue. MFA is used to verify the reinforce the security to identify a user, but it doesn't help at all in arranging the user's accounts",0
34,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- A PaaS solution that hosts web apps in Azure provides full control of the operating systems that host applications. (Y/N)
- A PaaS solution that hosts web apps in Azure provides the ability to scale the platform automatically. (Y/N)
- A PaaS solution that hosts web apps in Azure provides professional development services to continuously add features to custom applications. (Y/N)",NYY,"A PaaS solution does not provide access to the operating system. 
The Azure Web Apps service provides an environment for you to host your web applications.
Behind the scenes, the web apps are hosted on virtual machines running IIS.
 However, you have no direct access to the virtual machine, the operating system or IIS.

A PaaS solution that hosts web apps in Azure does provide the ability to scale the platform automatically. This is known as autoscaling. 
Behind the scenes, the web apps are hosted on virtual machines running IIS. 
Autoscaling means adding more load balanced virtual machines to host the web apps.

PaaS provides a framework that developers can build upon to develop or customize cloud-based applications. 
PaaS development tools can cut the time it takes to code new apps with pre-coded application components built into the platform, such as workflow, directory services, security features, search and so on.",0
35,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Azure provides flexibility between capital expenditure (CapEx) and operational expenditure (OpEx). (Y/N)
- If you create two Azure VM that use the B2S size, each VM will always generate the same monthly costs. (Y/N)
- When an Azure VM is stopped, you continue to pay storage costs associated to the VM. (Y/N)",YNY,Storage cost are separate. In Azure stopping VM and de-allocating / deleting VM is different. If you stop VM still you need storage space to store VM image and which will cost you. Cost is Azure have different meters so VM costly will be possibly different at end of month.,0
36,"When you are implementing a SaaS solution, you are responsible for :
A. configuring high availability
B. defining scalability rules
C. installing the SaaS solution
D. configuring the SaaS solution",D,"When implementing a SaaS solution, the provider of the SaaS solution is responsible for configuring high availability and defining scalability rules. The customer is responsible for configuring and using the SaaS solution, but not for installing it.",0
37,"You have an on-premises network that contains several servers.
You plan to migrate all the servers to Azure.
You need to recommend a solution to ensure that some of the servers are available if a single Azure data center goes offline for an extended period.
What should you include in the recommendation?
A. fault tolerance
B. elasticity
C. scalability
D. low latency",A,"Fault tolerance is the ability of a system to continue to function in the event of a failure of some of its components.
In this question, you could have servers that are replicated across datacenters.
Availability zones expand the level of control you have to maintain the availability of the applications and data on your VMs. Availability Zones are unique physical locations within an Azure region. Each zone is made up of one or more datacenters equipped with independent power, cooling, and networking. To ensure resiliency, there are a minimum of three separate zones in all enabled regions. The physical separation of Availability Zones within a region protects applications and data from datacenter failures.
With Availability Zones, Azure offers industry best 99.99% VM uptime SLA. By architecting your solutions to use replicated VMs in zones, you can protect your applications and data from the loss of a datacenter. If one zone is compromised, then replicated apps and data are instantly available in another zone.
References:",0
38,"An organisation that hosts its infrastructure [...] no longer requires a data center.
A. in a private cloud
B. in a hybrid cloud
C. in the public cloud
D. on a Hyper-V host",C,"A private cloud is hosted in your datacenter. Therefore, you cannot close your datacenter if you are using a private cloud.
A public cloud is hosted externally, for example, in Microsoft Azure. An organization that hosts its infrastructure in a public cloud can close its data center.
Public cloud is the most common deployment model. In this case, you have no local hardware to manage or ""keep up-to-date"" everything runs on your cloud provider's hardware.
Microsoft Azure is an example of a public cloud provider.
In a private cloud, you create a cloud environment in your own datacenter and provide self-service access to compute resources to users in your organization.
This offers a simulation of a public cloud to your users, but you remain completely responsible for the purchase and maintenance of the hardware and software services you provide.",0
39,"What are two characteristics of the public cloud? Each correct answer presents a complete solution.
NOTE: Each correct selection is worth one point.
A. dedicated hardware
B. unsecured connections
C. limited storage
D. metered pricing
E. self-service management",DE,"With the public cloud, you get pay-as-you-go pricing ג€"" you pay only for what you use, no CapEx costs.
With the public cloud, you have self-service management. You are responsible for the deployment and configuration of the cloud resources such as virtual machines or web sites. The underlying hardware that hosts the cloud resources is managed by the cloud provider.
Incorrect Answers:
A: You don't have dedicated hardware. The underlying hardware is shared so you could have multiple customers using cloud resources hosted on the same physical hardware.
B: Connections to the public cloud are secure.
C: Storage is not limited. You can have as much storage as you like.",0
40,"When planning to migrate a public website to Azure, you must plan to :
A. deploy a VPN
B. pay monthly usage costs
C. pay to transfer all the website data to Azure
D. reduce the number of connections to the website",B,"When migrating a public website to Azure, you need to plan for the pricing model that Azure provides. Azure charges for the usage of resources such as virtual machines, storage, and data transfer. Therefore, you need to plan to pay monthly usage costs for hosting the website on Azure. Deploying a VPN, paying to transfer all the website data to Azure, or reducing the number of connections to the website are not necessarily required for migrating a public website to Azure.",0
41,"Your company plans to migrate all its data and resources to Azure.
The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure.
You need to deploy an Azure environment that meets the company migration plan.
Solution: You create an Azure App Service and Azure SQL databases.
Does this meet the goal?
A. Yes
B. No",A,"Azure App Service and Azure SQL databases are examples of Azure PaaS solutions. Therefore, this solution does meet the goal.",0
42,"Your company plans to migrate all its data and resources to Azure.
The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure.
You need to deploy an Azure environment that meets the company migration plan.
Solution: You create an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed.
Does this meet the goal?
A. Yes
B. No",B,VM installed with Azure SQL fall under IaaS user will have OS access.,0
43,"After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.
Your company plans to migrate all its data and resources to Azure.
The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure.
You need to deploy an Azure environment that meets the company migration plan.
Solution: You create an Azure App Service and Azure Storage accounts.
Does this meet the goal?
A. Yes
B. No",B,Azure App Service is a PaaS but Azure Storage accounts is not a service.,0
44,"Your company hosts an accounting application named App1 that is used by all the customers of the company.
App1 has low usage during the first three weeks of each month and very high usage during the last week of each month.
Which benefit of Azure Cloud Services supports cost management for this type of usage pattern?
A. high availability
B. high latency
C. elasticity
D. load balancing",B,"Elasticity in this case is the ability to provide additional compute resource when needed and reduce the compute resource when not needed to reduce costs.
Autoscaling is an example of elasticity.
Elastic computing is the ability to quickly expand or decrease computer processing, memory and storage resources to meet changing demands without worrying about capacity planning and engineering for peak usage. Typically controlled by system monitoring tools, elastic computing matches the amount of resources allocated to the amount of resources actually needed without disrupting operations. With cloud elasticity, a company avoids paying for unused capacity or idle resources and doesn't have to worry about investing in the purchase or maintenance of additional resources and equipment.",0
45,"You plan to migrate a web application to Azure. The web application is accessed by external users.
You need to recommend a cloud deployment solution to minimize the amount of administrative effort used to manage the web application.
What should you include in the recommendation?
A. Software as a Service (SaaS)
B. Platform as a Service (PaaS)
C. Infrastructure as a Service (IaaS)
D. Database as a Service (DaaS)",B,"The best option would be B. Platform as a Service (PaaS).
PaaS provides a platform with a runtime environment for applications. It includes infrastructure, middleware, development tools, business intelligence (BI) services, database management systems, etc. The advantage of PaaS is that it allows developers to focus on coding the application without worrying about infrastructure management. This can significantly reduce the administrative effort needed to manage the web application.
Please note that while SaaS, IaaS, and DaaS also provide cloud services, they don’t offer the same level of management ease for a web application as PaaS does. SaaS is typically end-user applications run by third-party providers. IaaS provides only the base infrastructure, and DaaS is specifically for databases.",0
46,"Azure VM :
A. IaaS
B. PaaS
C. SaaS

Azure SQL Database :
A. IaaS
B. PaaS
C. SaaS",AB,"Azure virtual machines are Infrastructure as a Service (IaaS).
Infrastructure as a Service is the most flexible category of cloud services. It aims to give you complete control over the hardware that runs your application (IT infrastructure servers and virtual machines (VMs), storage, networks, and operating systems). Instead of buying hardware, with IaaS, you rent it.

Azure SQL databases are Platform as a Service (Paas).
Azure SQL Database is a fully managed Platform as a Service (PaaS) Database Engine that handles most of the database management functions such as upgrading, patching, backups, and monitoring without user involvement. Azure SQL Database is always running on the latest stable version of SQL Server
Database Engine and patched OS with 99.99% availability. PaaS capabilities that are built-in into Azure SQL database enable you to focus on the domain specific database administration and optimization activities that are critical for your business.",0
47,"You have an on-premises network that contains 100 servers.
You need to recommend a solution that provides additional resources to your users. The solution must minimize capital and operational expenditure costs.
What should you include in the recommendation?
A. a complete migration to the public cloud
B. an additional data center
C. a private cloud
D. a hybrid cloud",D,"Hybrid Cloud. ""additional resources"" is the keyword. The investment (capital expenditure) for the on-premises datacenter is already made. So continue to take advantage of it. But for additional resources it is interesting to dynamically scale in the public cloud.",0
